,dengue_cases,daily_rainf_total,highest_30min_rainf,highest_60min_rainf,highest_120min_rainf,mean_temp,max_temp,min_temp,mean_wind_speed,max_wind_speed,dengue_searches,dengue_fever_searches,dengue_symptoms_searches
2015-12-20,372.0,1.257142857142857,1.1714285714285713,1.257142857142857,1.257142857142857,27.942857142857143,31.25714285714286,25.428571428571427,8.22857142857143,31.314285714285713,12,5,3
2015-12-27,458.0,10.085714285714287,6.371428571428572,8.257142857142856,9.428571428571429,27.942857142857143,31.75714285714286,24.942857142857143,8.328571428571427,32.0,20,7,6
2016-01-03,549.0,16.62857142857143,7.0857142857142845,9.6,11.485714285714286,26.814285714285713,29.74285714285714,24.614285714285717,9.257142857142856,39.34285714285714,25,8,6
2016-01-10,628.0,0.2571428571428572,0.2571428571428572,0.2571428571428572,0.2571428571428572,28.514285714285712,32.028571428571425,26.114285714285717,11.257142857142856,31.47142857142857,27,9,6
2016-01-17,636.0,7.3428571428571425,5.771428571428572,6.628571428571428,7.028571428571429,28.400000000000002,32.31428571428571,26.0,8.971428571428572,30.11428571428571,25,7,4
2016-01-24,630.0,0.8571428571428571,0.7714285714285715,0.7999999999999999,0.8285714285714285,28.52857142857143,32.05714285714286,26.514285714285712,10.028571428571428,33.528571428571425,37,10,8
2016-01-31,530.0,1.3714285714285714,0.7999999999999999,0.8285714285714285,0.9142857142857144,28.614285714285717,32.142857142857146,26.271428571428572,11.614285714285714,38.771428571428565,33,11,8
2016-02-07,420.0,5.571428571428571,1.9714285714285715,2.5428571428571423,2.942857142857143,28.185714285714287,31.571428571428573,25.814285714285713,11.685714285714285,35.114285714285714,30,9,8
2016-02-14,593.0,0.31428571428571433,0.2571428571428572,0.2857142857142857,0.31428571428571433,27.62857142857143,30.47142857142857,25.74285714285714,10.542857142857143,31.128571428571426,29,12,7
2016-02-21,512.0,10.428571428571429,2.5142857142857147,3.1999999999999997,3.542857142857143,27.542857142857144,30.9,25.428571428571427,11.514285714285714,38.05714285714286,26,11,8
2016-02-28,412.0,10.257142857142856,3.4857142857142853,6.371428571428572,7.914285714285714,27.857142857142858,31.385714285714283,25.285714285714285,12.342857142857143,39.542857142857144,24,8,6
2016-03-06,397.0,0.05714285714285715,0.028571428571428574,0.05714285714285715,0.05714285714285715,28.571428571428573,31.942857142857143,26.542857142857144,13.571428571428571,39.08571428571428,20,7,4
2016-03-13,374.0,0.6571428571428571,0.5714285714285714,0.6,0.6285714285714287,28.928571428571427,33.042857142857144,26.614285714285717,10.6,30.32857142857143,19,6,4
2016-03-20,308.0,0.0,0.0,0.0,0.0,28.985714285714288,33.271428571428565,26.271428571428572,11.214285714285714,30.67142857142857,15,5,3
2016-03-27,377.0,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143,29.12857142857143,33.57142857142857,26.67142857142857,10.528571428571428,34.2,20,7,4
2016-04-03,292.0,1.0857142857142856,1.0857142857142856,1.0857142857142856,1.0857142857142856,29.442857142857143,33.642857142857146,26.785714285714285,13.228571428571428,35.5,20,7,3
2016-04-10,225.0,1.0571428571428572,0.7142857142857143,0.8857142857142858,1.0285714285714287,29.3,33.457142857142856,26.571428571428573,9.271428571428572,31.514285714285712,16,5,3
2016-04-17,231.0,3.4,2.8000000000000003,3.0285714285714285,3.3142857142857145,29.657142857142855,33.3,26.685714285714287,7.571428571428571,33.17142857142857,13,3,3
2016-04-24,244.0,2.0571428571428574,1.8285714285714285,1.8285714285714285,1.8571428571428572,29.900000000000002,33.67142857142857,27.285714285714285,9.4,34.3,13,3,3
2016-05-01,181.0,5.228571428571429,4.114285714285715,4.4,4.4,28.942857142857143,33.028571428571425,26.157142857142855,6.385714285714286,28.228571428571428,13,3,4
