,df,dhf,dengue_cases,daily_rainf_total,highest_30min_rainf,highest_60min_rainf,highest_120min_rainf,mean_temp,max_temp,min_temp,mean_wind_speed,max_wind_speed,dengue_searches,dengue_fever_searches,dengue_symptoms_searches,daily_rainf_total_squared,highest_30min_rainf_squared,highest_60min_rainf_squared,highest_120min_rainf_squared
2015-11-29,259.0,0.0,259.0,4.257142857142857,0.6285714285714287,0.7999999999999999,0.7999999999999999,27.914285714285715,32.08571428571429,25.099999999999998,7.1571428571428575,34.08571428571428,12.0,5.0,2.0,18.12326530612245,0.39510204081632666,0.6399999999999999,0.6399999999999999
2015-12-06,356.0,1.0,357.0,0.22857142857142856,0.22857142857142856,0.22857142857142856,0.22857142857142856,28.12857142857143,32.2,25.82857142857143,5.914285714285714,27.471428571428568,11.0,4.0,3.0,0.05224489795918367,0.05224489795918367,0.05224489795918367,0.05224489795918367
2015-12-13,333.0,0.0,333.0,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,28.157142857142855,32.25714285714286,25.957142857142856,6.6571428571428575,27.257142857142856,11.0,4.0,3.0,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994
2015-12-20,372.0,0.0,372.0,1.657142857142857,1.0857142857142856,1.1142857142857143,1.1428571428571428,27.842857142857145,31.5,25.47142857142857,6.785714285714286,30.67142857142857,11.0,3.0,4.0,2.7461224489795915,1.1787755102040816,1.2416326530612245,1.3061224489795917
2015-12-27,458.0,0.0,458.0,4.571428571428571,2.4857142857142853,3.314285714285714,4.057142857142858,27.82857142857143,32.2,25.099999999999998,6.957142857142856,27.7,12.0,4.0,3.0,20.897959183673468,6.17877551020408,10.984489795918366,16.460408163265313
2016-01-03,549.0,0.0,549.0,9.257142857142856,6.942857142857143,8.828571428571427,9.171428571428573,27.87142857142857,32.34285714285714,25.099999999999998,7.028571428571429,32.142857142857146,16.0,5.0,4.0,85.694693877551,48.203265306122454,77.94367346938773,84.11510204081635
2016-01-10,628.0,0.0,628.0,17.914285714285715,8.77142857142857,10.457142857142857,14.428571428571429,27.37142857142857,31.271428571428572,24.642857142857142,6.8428571428571425,30.3,16.0,6.0,5.0,320.92163265306124,76.93795918367346,109.35183673469388,208.18367346938777
2016-01-17,635.0,1.0,636.0,1.257142857142857,1.1714285714285713,1.257142857142857,1.257142857142857,27.942857142857143,31.25714285714286,25.428571428571427,8.22857142857143,31.314285714285713,12.0,5.0,3.0,1.5804081632653055,1.3722448979591833,1.5804081632653055,1.5804081632653055
2016-01-24,629.0,1.0,630.0,10.085714285714287,6.371428571428572,8.257142857142856,9.428571428571429,27.942857142857143,31.75714285714286,24.942857142857143,8.328571428571427,32.0,20.0,7.0,6.0,101.72163265306125,40.595102040816336,68.1804081632653,88.89795918367348
2016-01-31,528.0,2.0,530.0,16.62857142857143,7.0857142857142845,9.6,11.485714285714286,26.814285714285713,29.74285714285714,24.614285714285717,9.257142857142856,39.34285714285714,25.0,8.0,6.0,276.50938775510207,50.207346938775494,92.16,131.92163265306124
